name,isSafe,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
3138,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.606149396733059,6.644198969446351,5,1333985321,0,0,224,8450,0,439
2437,0,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.082017759602627,9,1334995270,0,0,224,270,0,301
1687,0,1,2,1,0,0,0,1,0,94208,307678,491520,76137,4259840,4,16,913408,4096,4096,1,0,0,3.770000384660344,7.767001132328603,4,1332675903,0,0,224,271,0,0
3223,0,1,2,0,0,0,0,1,0,16384,389120,0,6504,4194304,4,16,782336,4096,4096,1,0,0,3.8949541848526974,7.807013396339529,4,1341301058,0,0,224,271,0,0
3519,0,1,4,0,1,0,1,1,0,45056,409600,0,5952,4194304,4,16,823296,4096,4096,1,0,0,3.9513671822040215,7.731401096914192,4,1344755412,0,0,224,271,0,0
847,0,1,2,0,1,0,0,1,0,12288,389120,0,6208,4194304,4,16,782336,4096,4096,1,0,0,0.8632932490940102,7.962561432993842,4,1341691629,0,0,224,271,0,0
5035,0,1,2,1,0,0,0,1,0,102912,5632,0,110272,4194304,4,16,122880,4096,512,0,0,0,1.6649936702546246,7.135305686377481,4,1335600112,0,0,224,270,0,2
5286,0,1,4,0,1,0,0,1,0,284672,26624,0,282192,4194304,4,16,323584,4096,512,1,2,0,0.16032872589902852,7.566753345202433,6,1334415003,0,0,224,270,0,762
3243,0,1,6,1,1,1,0,1,0,143360,61440,0,78682,1694498816,4,16,225280,4096,4096,0,0,0,2.6052814931867143,6.674994976976019,5,1334923717,0,0,224,8450,0,424
5517,0,1,7,1,1,0,0,1,1,4096,280576,0,4928,4194304,4,16,303104,4096,512,1,3,2,3.048759652717769,7.719956767393264,7,1332197410,0,0,224,270,0,499
6538,0,1,2,0,1,0,0,1,0,12288,389120,0,5432,4194304,4,16,823296,4096,4096,1,0,0,6.346886642467441,7.8224148283578785,4,1343555000,0,0,224,271,0,0
3449,0,1,6,0,1,0,0,1,1,20480,423234,397312,6145,4259840,4,16,856064,4096,4096,1,0,0,6.575041598609026,7.690680186117563,4,1333436105,0,0,224,271,0,0
6624,0,1,3,1,1,0,0,1,0,145408,46592,0,5248,4194304,4,16,217088,4096,512,0,5,5,0.12943919267108936,6.049991029947724,8,1342315236,0,0,224,270,0,0
5882,0,1,6,1,0,0,0,1,0,8704,27648,0,9441,4194304,5,16,49152,4096,512,0,0,0,4.415599964165836,5.8329951346343965,4,1331709924,0,0,224,259,0,0
1864,0,1,3,1,0,0,0,1,0,91648,1536,0,4720,4194304,4,16,106496,4096,512,1,0,0,1.9489780380055324,7.632362957739845,3,1333525214,0,0,224,270,0,2
3436,0,1,6,1,1,0,0,1,1,135168,12288,0,5568,4194304,4,16,155648,4096,512,0,0,0,3.5085527732806767,5.958617439738234,4,1336002013,0,0,224,270,0,95
6711,0,1,4,0,1,0,0,1,0,28672,393216,217088,6523,4259840,4,16,987136,4096,4096,1,0,0,3.982417446495472,7.8476962930510625,4,1335608472,0,0,224,271,0,0
2021,0,1,4,1,1,0,0,1,0,112128,15872,0,109760,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.079929119714716,8,1334852435,0,0,224,270,0,278
3011,0,1,2,0,0,0,0,0,0,60928,371712,0,427582,65536,5,16,434176,512,512,1,1,0,0.2681895726558982,7.987129502770352,6,1213803377,0,0,224,258,0,77
5818,0,1,2,0,0,0,0,0,0,60928,371200,0,427070,65536,5,16,433664,512,512,1,1,0,0.2678855901124811,7.989351485649046,6,1213800635,0,0,224,258,0,77
5314,0,1,3,0,0,0,0,1,0,20480,393216,16384,5299,4259840,4,16,991232,4096,4096,1,0,0,3.1687979490773395,7.940639608555015,4,1334652129,0,0,224,271,0,0
2863,0,1,2,0,1,0,0,1,0,12288,389120,0,5528,4194304,4,16,823296,4096,4096,1,0,0,6.376964695086703,7.8215784519765625,4,1343462625,0,0,224,271,0,0
181,0,1,4,0,1,0,0,1,0,24576,428731,389120,6519,4259840,4,16,856064,4096,4096,1,0,0,1.6370776066829056,7.637250505153631,4,1333049654,0,0,224,271,0,0
844,0,1,2,0,1,0,0,1,0,12288,389120,0,5560,4194304,4,16,823296,4096,4096,1,0,0,3.442626398409264,7.921288541471323,4,1343160515,0,0,224,271,0,0
6209,0,1,4,0,0,1,0,1,0,147456,143360,0,53584,1593835520,4,16,303104,4096,4096,0,0,0,1.7327406285942482,6.682294978138646,5,1218892514,0,0,224,8450,0,2466
6546,0,1,6,1,1,0,0,1,0,169472,37888,0,80451,4194304,5,16,229376,4096,512,0,3,0,0.9727296750744064,6.608868777824585,7,1326821167,0,0,224,258,0,267
2444,0,1,2,0,1,0,0,1,0,12288,372736,0,5544,4194304,4,16,823296,4096,4096,1,0,0,6.375008770529989,7.9216355744283025,4,1343414552,0,0,224,271,0,0
2230,0,1,2,0,1,0,0,1,0,161280,13312,0,4096,4194304,5,16,266240,4096,512,1,5,0,0.43710972513537405,7.899451164745903,9,1305524318,0,0,224,258,1,198
6471,0,1,3,1,0,0,0,1,0,94208,237306,499712,92382,4194304,4,16,847872,4096,4096,1,0,0,0.6417950218118956,7.994341452748601,4,1331754463,0,0,224,271,0,0
2884,0,1,4,1,1,0,0,1,0,92160,2048,0,4720,4194304,4,16,106496,4096,512,1,0,0,2.093858639482634,7.617818602523344,3,1333484433,0,0,224,270,0,2
3960,0,1,7,1,1,0,0,1,0,165888,39424,0,98338,4194304,5,16,225280,4096,512,0,2,0,1.309136702784461,6.603240352622407,6,1339791514,0,0,224,258,0,257
4102,0,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.081248089072726,9,1334928027,0,0,224,270,0,301
723,0,1,4,0,1,0,0,1,0,28672,409600,4096,6517,4259840,4,16,819200,4096,4096,1,1,1,3.941067244828974,7.8237413215539355,5,1335786759,0,0,224,271,0,0
644,0,1,6,0,1,0,0,1,1,20480,402754,417792,6137,4259840,4,16,856064,4096,4096,1,0,0,6.636969458114353,7.69913198760786,4,1333397172,0,0,224,271,0,0
216,0,1,4,0,1,0,0,1,0,5632,16896,0,789520,4259840,4,16,819200,4096,512,0,0,0,0.40554835374125364,6.6205407692702645,4,1319571264,0,0,224,271,0,0
