name,isSafe,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
1203.exe,1,1,0,0,2.8327156702266154,5.570581150778284,332,5,1343345674,0,0,224,290
1038.exe,0,1,0,1,1.5208856426989248,6.6440440229725315,332,5,1333756130,0,0,224,8450
1418.exe,1,1,0,0,3.181345803687275,6.617346930872762,332,5,1503984615,0,0,224,290
1046.exe,0,1,0,1,1.5192744608933864,6.643716243363036,332,5,1333985584,0,0,224,8450
1104.exe,1,1,3,1,0.1991075177871819,6.2882659935858864,34404,9,145868,0,0,240,559
1013.exe,0,1,0,0,2.0311300390555593,7.1221420844028405,332,4,1335847362,0,0,224,270
1362.exe,1,1,0,0,0.37479724348767507,6.148345497772606,34404,6,1436498704,0,0,240,34
1229.exe,1,1,4,1,0.19743807838821048,5.915156076712769,34404,11,0,32768,136,240,39
1402.exe,1,1,1,0,1.4311553379234763,6.612654445206683,332,6,1492824904,0,0,224,258
1017.exe,0,0,0,1,4.086571917038139,7.852316766283852,332,4,1326871294,0,0,224,271
1463.exe,1,1,1,2,4.135042108315245,6.125461228267647,332,5,33440,0,0,224,783
1023.exe,0,0,1,1,3.941824379038024,7.823350089735056,332,5,1335808610,0,0,224,271
1037.exe,0,0,0,1,4.073131653389981,7.8823116549644965,332,4,0,0,0,224,271
1044.exe,0,1,0,1,1.782465055457519,6.621765464638633,332,5,1325126608,0,0,224,8450
1007.exe,0,0,1,1,1.9411925072141014,7.729682851762602,332,5,1332591605,0,0,224,270
1033.exe,0,1,0,0,4.372180935038344,6.979336947554409,332,4,1334326819,0,0,224,270
1088.exe,1,1,0,0,3.216555265792657,6.48373050016148,34404,5,1485515224,0,0,240,35
1042.exe,0,0,0,0,3.4553832969056413,7.9218964925805215,332,4,1343160515,0,0,224,271
1036.exe,0,1,9,9,0.7084378349416649,6.542697177562643,332,12,1339892616,0,0,224,270
1011.exe,0,0,5,5,4.242809589113418,7.635019867904836,332,9,1333096841,0,0,224,270
104.exe,1,1,4,1,0.19743807838821048,5.922266154665931,34404,11,33798176,38912,161,240,39
1331.exe,1,1,0,0,0.08153941234324169,5.323764096606868,332,3,1412242031,0,0,224,258
1043.exe,1,1,0,0,0.08153941234324169,5.755789509925003,332,3,1343348450,0,0,224,258
1034.exe,0,1,0,0,1.5771066802569238,7.130742035029875,332,4,1335363625,0,0,224,270
1306.exe,1,1,4,1,0.19743807838821048,5.923264653269201,34404,11,36268064,35328,162,240,39
10.exe,0,0,0,0,5.961096780276274,7.92222907528523,332,4,1343676558,0,0,224,271
