name,isSafe,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
1554,0,1,3,1,0,0,0,1,0,8192,329282,540672,4672,4194304,4,16,897024,4096,4096,1,0,0,0.7115733209801056,7.836718181499771,4,1331671113,0,0,224,271,0,0
6194,1,1,7,1,1,0,0,1,1,58880,31232,0,15380,5368709120,5,16,114688,4096,512,0,0,0,2.066173004398576,6.339582243700956,6,1334103317,0,0,240,34,0,0
1555,0,1,4,0,1,0,0,1,0,28672,438272,253952,7012,4259840,4,16,995328,4096,4096,1,0,0,4.19189111895225,7.806816238783264,4,1335291770,0,0,224,271,0,0
6216,1,1,8,1,1,0,0,1,1,23552,119808,1024,12860,4194304,4,16,204800,4096,512,0,1,1,4.70902740305165,6.417698236857409,5,1260053446,0,0,224,271,0,0
1556,0,1,3,0,1,0,0,1,0,32768,405504,376832,6708,4259840,4,16,819200,4096,4096,1,0,0,3.967248013389364,7.824675539014373,4,1336033167,0,0,224,271,0,0
6217,1,1,10,0,0,0,0,1,0,18432,36864,59392,5328,4194304,5,16,131072,4096,512,0,4,1,0.2044881574398449,6.161701142186447,11,0,38400,137,240,39,0,0
1557,0,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.8067363487314534,7.767691395267067,4,1332576541,0,0,224,271,0,0
6225,1,1,0,0,0,0,0,0,0,393216,16384,0,0,4194304,4,16,417792,8192,4096,0,0,0,3.664779877388384,6.021775728080743,2,1238349745,0,0,240,302,0,0
1558,0,1,4,1,1,0,0,1,0,112128,15872,0,109760,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.079927382804523,8,1334840535,0,0,224,270,0,278
6243,1,1,4,0,0,0,0,1,0,10240,11776,3072,5376,4194304,5,16,53248,4096,512,0,3,1,0.19743807838821048,5.788007296658007,10,19,0,0,240,559,0,0
1559,0,1,2,0,0,0,0,0,0,47744,354048,0,396606,65536,5,16,402944,128,128,1,1,0,0.2516892155601961,7.988132448108367,6,1272498895,0,0,224,258,0,66
6248,1,1,8,1,1,0,0,1,0,1108480,573952,0,6312,771751936,5,16,1695744,4096,512,0,0,0,3.6290023636520785,6.631117219199174,4,1269962822,0,0,224,258,0,13003
156,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5177257976129357,6.644198969446351,5,1333985321,0,0,224,8450,0,0
6252,1,1,5,0,1,1,0,1,0,18944,13824,3072,5376,4194304,5,16,61440,4096,512,0,3,1,0.19743807838821048,6.058570679105598,9,51340,0,0,240,559,0,0
1560,0,1,4,0,1,0,0,1,0,36864,393216,0,5648,4194304,4,16,823296,4096,4096,1,0,0,3.7924610848925315,7.731738824242715,4,1344542973,0,0,224,271,0,0
6253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
1561,0,1,6,1,0,0,0,1,0,8704,29184,0,9441,4194304,5,16,49152,4096,512,0,0,0,4.415599964165836,5.8329951346343965,4,1075271382,0,0,224,259,0,0
6259,1,1,14,0,0,0,0,1,0,33792,67584,3072,5328,4194304,5,16,106496,4096,512,0,4,1,0.1991075177871819,6.038397135296214,11,34068512,69120,226,240,39,0,0
1562,0,1,4,0,1,0,0,1,0,20480,409600,233472,5536,4259840,4,16,987136,4096,4096,1,0,0,3.8072317617062184,7.864677638309057,4,1334914772,0,0,224,271,0,0
6260,1,1,11,0,1,0,0,1,0,27648,292352,0,27676,5368709120,6,16,335872,4096,512,0,0,0,3.2007692326601993,6.031631923438195,6,1394855108,0,0,240,34,0,0
1563,0,1,4,0,1,0,0,1,0,5632,372224,0,5440,4194304,4,16,823296,4096,512,1,0,0,0.06262444783142707,7.9143176787722345,4,1326871294,0,0,224,271,0,0
6263,1,1,3,0,0,0,0,1,0,113152,31744,5120,5376,4194304,5,16,176128,4096,512,0,3,1,0.2044881574398449,5.582719265626053,9,160052,0,0,240,559,0,0
1565,0,1,7,1,1,1,0,1,0,143360,61440,0,78314,1694498816,4,16,225280,4096,4096,0,0,0,2.6069964392501896,6.666136558824512,5,1334666163,0,0,224,8450,0,423
6265,1,1,1,0,0,0,0,0,0,22528,3072,0,30282,4194304,6,16,49152,8192,512,0,0,0,0.08153941234324169,5.029894815040714,3,1433126460,0,0,224,34,0,0
1566,0,1,3,0,1,0,0,1,0,16384,397312,0,6296,4194304,4,16,782336,4096,4096,1,0,0,4.438885565138436,7.818020989252998,4,1341347075,0,0,224,271,0,0
6267,1,1,11,0,0,0,0,1,0,48128,23552,0,48067,4194304,5,16,90112,4096,512,0,1,0,0.41389007474477,6.576938456806234,6,1482201869,0,0,224,258,0,86
1567,0,1,7,1,1,1,0,1,0,18432,244224,1069948,8192,4194304,5,16,1363968,4096,512,1,3,1,4.164608791209801,7.980779434491256,9,1199997096,0,0,224,271,0,0
6268,1,1,11,1,1,0,0,1,1,28160,129024,0,29536,5368709120,6,16,172032,4096,512,1,0,0,1.62489609896528,7.562513206363115,6,1464842726,0,0,240,34,0,0
1568,0,1,9,1,1,0,0,1,1,466944,102400,954368,1422016,4194304,4,16,1527808,4096,512,1,2,1,3.66596670504572,7.928671900666697,3,708992537,0,0,224,33167,0,0
6277,1,1,1,0,0,0,0,0,0,147968,20480,0,155886,4194304,4,16,196608,8192,512,0,0,0,0.10191042566270775,6.368640844536898,3,1504852466,0,0,224,258,0,0
157,0,1,6,1,1,0,0,1,0,28672,876544,0,4106,4194304,4,16,909312,4096,4096,0,0,0,3.69711455243939,7.00983564862108,4,0,0,0,224,259,0,0
628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
1571,0,1,3,1,1,0,0,1,0,160768,9728,0,4096,4194304,5,16,229376,4096,512,1,5,0,0.43710972513537405,7.892969979978898,9,1301306542,0,0,224,258,0,151
6307,1,1,15,0,0,0,0,1,0,67072,141824,6144,5328,4194304,5,16,180224,4096,512,0,4,1,0.2044881574398449,5.965084549003849,11,37177376,143360,275,240,39,0,0
1572,0,1,2,1,0,0,0,1,0,141824,4608,0,5104,4194304,4,16,159744,4096,512,0,0,0,1.5508724544431587,5.686336863176008,4,1336665756,0,0,224,270,0,0
6308,1,1,14,0,1,0,0,1,0,4096,32256,0,6480,4194304,10,16,49152,4096,512,0,0,0,0.1833387916558982,5.849630458908011,5,1436499001,0,0,224,258,0,7
1573,0,1,2,1,0,0,0,1,0,94208,307678,491520,76137,4259840,4,16,913408,4096,4096,1,0,0,3.770000384660344,7.76646850946816,4,1332675903,0,0,224,271,0,0
6309,1,1,0,0,0,0,0,0,0,41472,2048,0,0,5368709120,4,16,65536,8192,512,0,0,0,3.573756495374035,5.601048348515889,2,1343256381,0,0,240,34,0,0
1574,0,1,4,0,1,0,0,1,0,12288,397312,0,6355,4194304,4,16,827392,4096,4096,1,0,0,4.9738560096547,7.976188137137831,4,1342376926,0,0,224,271,0,0
6313,1,1,1,0,0,0,0,1,0,16384,32768,0,4101,4194304,4,16,53248,4096,4096,0,0,0,0.36035050191580653,5.9549219403190685,4,1244660645,0,0,224,271,0,0
1575,0,1,7,1,1,1,0,1,0,147456,61440,0,79418,1677721600,4,16,229376,4096,4096,0,0,1,1.782931357767743,6.621156530768694,5,1327339770,0,0,224,8450,0,0
6337,1,1,21,0,0,0,0,0,0,20992,50688,0,22512,5368709120,10,16,94208,4096,512,0,1,0,0.08153941234324169,6.261491443591911,7,1436498111,0,0,240,34,0,1
1576,0,1,4,0,1,0,0,1,0,8704,335360,0,6236,4194304,4,16,778240,4096,512,1,0,0,0.08219223432150993,7.920158654442754,4,1329409810,0,0,224,271,0,0
6340,1,1,13,1,1,0,0,1,0,33280,37376,0,33216,5368709120,10,16,90112,4096,512,0,0,0,2.131835040716199,6.134955929852052,6,1436498697,0,0,240,34,0,0
1577,0,1,4,0,1,0,0,1,0,36864,393216,0,5648,4194304,4,16,823296,4096,4096,1,0,0,3.810806908300821,7.731257906504633,4,1344542973,0,0,224,271,0,0
6344,1,1,1,0,0,0,0,0,0,16384,32768,0,23406,4194304,4,16,65536,8192,4096,0,0,0,0.013126943721219527,5.389787062580359,3,1328929884,0,0,224,258,0,0
1578,0,1,5,1,1,0,0,1,0,140288,37888,0,115148,4194304,5,16,200704,4096,512,1,0,0,3.5784614234363934,7.876551169475305,4,1299454751,0,0,224,258,0,133
6363,1,1,10,0,0,0,0,1,0,26624,47104,3072,5328,4194304,5,16,86016,4096,512,0,4,1,0.186582516434666,6.011108926979946,11,14034976,48640,159,240,39,0,0
1579,0,1,4,1,1,0,0,1,0,92160,2048,0,4720,4194304,4,16,106496,4096,512,1,0,0,2.093858639482634,7.618094675240037,3,1333483304,0,0,224,270,0,2
6369,1,1,2,0,0,0,0,1,0,224768,146432,0,227120,5368709120,5,16,397312,4096,512,0,0,0,2.5765954417153965,6.32935713397714,6,1468542851,0,0,240,34,0,0
158,0,1,4,0,1,0,0,1,0,36864,397312,0,5680,4194304,4,16,823296,4096,4096,1,0,0,3.854446173297727,7.731362414865825,4,1344581633,0,0,224,271,0,0
6370,1,1,3,0,0,0,0,1,0,11264,6144,0,12059,4194304,6,16,32768,4096,512,0,0,0,1.849063564394853,5.66169847051491,5,1343345674,0,0,224,290,0,53
