name,isSafe,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
5284,0,1,0,0,0,1.5554593988681524,4.826143712080809,332,4,1336636835,0,0,224,270
3483,0,1,0,0,1,1.5213899499066472,6.6443635434325525,332,5,1333758254,0,0,224,8450
4195,0,1,1,0,0,4.074325254803732,7.773669887497713,332,4,1332407685,0,0,224,271
6272,0,1,0,0,0,2.4299862825642626,3.3163217128773907,332,3,1397127671,0,0,224,271
4173,0,1,1,0,0,5.035095770850417,7.976536508360635,332,4,1343811892,0,0,224,258
727,0,1,0,0,1,1.5172508905788862,6.643844233661688,332,5,1333758959,0,0,224,8450
6309,1,1,0,0,0,3.573756495374035,5.601048348515889,34404,2,1343256381,0,0,240,34
6744,0,1,1,2,0,0.37387747993819864,7.878964099460197,332,6,1307674046,0,0,224,258
4714,0,1,0,0,1,1.5172475783574053,6.6443635434325525,332,5,1333758254,0,0,224,8450
5850,0,1,1,0,0,0.7085790276440237,7.904389162281612,332,4,1343935512,0,0,224,271
5342,0,1,0,5,0,0.16032872589902852,7.083562237811688,332,9,1334982024,0,0,224,270
